Name	Latitude	Longitude
Eastern Mediterranean	39.42657	41.23464
BasedMikeLee	NA	NA
Haryana	29.25	76.33333
Chile	-30	-71
Bab alMandeb strait	30.73222	56.7175
Golan Heights	32.90485	35.80725
Kangpokpi	25.15114	93.9695
Louisiana	31.00047	-92.0004
TomWhiteGaza	NA	NA
Aizawl	23.72894	92.71791
Flanders	51	4.5
Hamad	31.40307	48.45684
Serbia	44.81892	20.45998
South Africansfrom	38.02807	-97.94033
alBayda	18.86139	42.07078
Philadelphi	NA	NA
Swaziland	-26.5	31.5
Germany	51.5	10.5
Taalbaya	NA	NA
Hungary	47	20
Raanana	32.1836	34.87386
Istanbul	41.01384	28.94966
Wayne County	-36.75	175
Marshall Islands	7.113	171.236
Singapore	1.36667	103.8
Morocco	28.5	-10
Beirut	33.89332	35.50157
Greece	39	22
Avivim	33.08892	35.47228
Gretna	41.14083	-96.23974
Mackinac Island	43.68897	-70.2331
Saudi Arabia	25	45
Lisbon	38.71667	-9.13333
Khreis	25.05944	48.06389
Tel Israel	32.25327	34.87034
Damascus	33.5102	36.29128
Central Gaza Strip	-2.02107	24.69727
Moldova	47.25	28.58333
Columbia	4	-73.25
Jarrah	24.05	54.1
Nairoukh	NA	NA
Iowa	42.00027	-93.50049
Gulf	-7.7246	145.08545
majedalansari	NA	NA
Kosovo	42.58333	20.91667
alShifa	NA	NA
Erbil	36.19117	44.00943
Kanaker	40.22302	44.53986
Deir Qaddis	35.33588	40.14084
Hebron	31.52935	35.0938
Hamra	31.81088	-8.27151
Jerusalem	31.76904	35.21633
Nevatim	31.22417	34.88098
Seychelles	-4.58333	55.66667
Australia	-25	135
Balakhiyah	NA	NA
Sierra Leone	8.5	-11.5
Montenegro	42.75	19.25
Palestinian Territories	31.92157	35.20329
Czech Republic	49.75	15
Cedar Rapids	42.00833	-91.64407
Syria Damascus	33.26954	35.19626
BabelMandeb Strait	6.8127	122.0236
Ohio	40.25034	-83.00018
Bahaa elDin Abu Ras	33.53699	36.31307
Haryana Panipat	29.25	76.33333
Nir Am	31.51959	34.58006
Bern	46.94809	7.44744
Japan	35.68536	139.75309
Islamic Republic	32	53
Rohtak	28.89447	76.58917
Turkey	39	35
Israel Goren	41.68181	-70.27889
Blue Line	40.88291	-123.98395
UP	43.62841	6.22477
Maghazi	31.42234	34.38501
Mizoram	23	93
Kan	12.00012	8.51672
Uttar Pradesh	27.25	80.75
Sweden	62	15
Bab al	35.26943	69.68085
Malta	35.91667	14.43333
carogennez	NA	NA
Farhana	NA	NA
Palestine	31.92157	35.20329
Iran	32	53
West Bengal	19.38333	-71.21667
Arab America	25	45
Houthi	NA	NA
Khirbet Selm	33.22931	35.42407
Rafah	31.29722	34.24357
Red Sea	52.26682	-113.802
Munich	48.13743	11.57549
Oslo	59.91273	10.74609
Cape Town	-33.92584	18.42322
Abwein	32.03144	35.19992
alMawasi	NA	NA
Jawwal	NA	NA
Ein alHilweh	32.62899	34.94483
Doha	25.28545	51.53096
Gulf of Oman	8.5	79
Florida	28.75054	-82.5001
Middle East Eye	33.13906	35.85869
October7	NA	NA
Iraq	33	44
Silwad	31.97625	35.2613
Al Jazeera	14.6	33.35
alMaghazi	NA	NA
X	19.22364	-70.53051
New York City	40.71427	-74.00597
alKarama	NA	NA
Hodeidah province	20.75	-75.91667
Mediterranean Sea	35.78	19.33
State of Israel	20.5	84.41667
Mefalsim	31.50125	34.5637
Lebanon Nabatieh	37.83451	-85.7319
Rehovot	31.89421	34.81199
Daraj	33.24567	59.54541
Silicon Valley	37.37	-122.04
Dubai	25.07725	55.30927
El Arish	31.13159	33.79844
Hezbollah	29.8628	56.8848
northGaza	NA	NA
Bihar	25.75	85.75
Crimea	45	34
Rawaa	NA	NA
South Korea	36.5	127.75
Netherlands	52.25	5.75
Rmeish	NA	NA
Hong Kong	22.27832	114.17469
Dead Sea	44.86777	-73.62391
Qatar	25.5	51.25
Thameen Darby	NA	NA
Area C	-25.55132	-54.61622
BosniaHerzegovina	NA	NA
Dura	28.8	49.23333
RepJayapal	NA	NA
Melbourne Australia	-37.67333	144.84333
Southern Red Sea	21.28937	78.66211
West Jerusalem	31.78199	35.21961
Akrotiri	36.35796	25.3976
Brisbane	-27.46794	153.02809
alFawakhir	NA	NA
Tell elAjjul	36.53984	40.61373
Welch	30.23604	-92.82265
Gaza Deir elBalah	35.65832	65.18016
Rabat	34.01325	-6.83255
Tal alHawa	-36.72494	-73.11684
Maghazi Roads	43.84258	-68.88115
Sudan	16	30
Republic of South Africa	7	21
Ahmadiyyah Zawiya	NA	NA
Anadolu	39	35
RepCori	NA	NA
Bekaa Valley	33.83333	36
Beit Hanoon	31.5353	34.53579
Al Rayyan	25.29194	51.42444
Wadi Gaza	15	21.5
Santa Clara	22.40694	-79.96472
Ebel elSaqi	33.35667	35.62639
El Amal City Hospital	32.893	0.54839
Strip	-27.51667	27.05
Manipur	25	94
Hodeidah	14.79781	42.95452
Borj el Barajneh	33.84347	35.49874
Santiago	-33.45694	-70.64827
Qalqilya	32.18583	35.06583
London	51.50853	-0.12574
Taiz province	13.5	44
Portugal	39.6945	-8.13057
Hashemite Kingdom of Jordan	31	36
Nur Shams	51.1801	71.44598
Deir elBalah	35.33588	40.14084
Maghreb	30	5
Paris	48.85341	2.3488
Nakba Layer	NA	NA
Jamaa Islamiya	35.46804	-5.70106
Via Maris	47.87844	27.16671
Pakistan Balochistan province	41.22825	33.15674
Jabalia	31.5272	34.48347
alWalaja	NA	NA
alAmal	31.39064	37.3146
Bulgaria	42.66667	25.25
azaizamotaz9	NA	NA
Jordan Valley	42.97404	-117.0543
North Africa	32.95337	9.97559
alTanf	NA	NA
Beit Shemesh	31.73072	34.99293
Yiron	33.07757	35.4546
Dahiyeh	NA	NA
Basel	47.55839	7.57327
Yemen southern coast	12.79891	45.03313
Sidon	33.55751	35.37148
South Carolina	34.00043	-81.00009
Khan Younis	31.34018	34.30627
Haifa	32.81841	34.9885
Cape of Good Hope	37.52777	-108.02785
Entebbe	0.05621	32.47949
alTawil	NA	NA
South America	-14.60485	-57.65625
Hanita	33.08746	35.17364
DC	38.91706	-77.00025
SistanBaluchestan province	28.5	60.5
